"Boutaric, A.",2
"Jones, L. H.",2
"Culpepper, C. W.; Moon, H. H.",2
"Parker, M. W.; Hendricks, S. B.; Borthwick, H. A.; Scully, N. J.",2
"Tiscornia, J.",2
"David, P. E.",2
"Samraevsky, V.",2
"Tames, C.",2
"Crepin, C.",2
"Höhne, E.",2
"Fedorov, E. E.",2
"Greathouse, G. A.",2
"Meyer, A.",2
"MacGillivray, J. H.",2
"Rudenko, A. I.",2
"Papadakis, J.",2
"Beal, J. A.",2
"Lode, L. A.",2
"Endo, S.",2
"Hadorn, C.",2
"Kittredge, J.",2
"Lloyd, J. R.",2
"Visher, S. S.",2
"Abe, T.",2
"Uvarov, B. P.",2
"Grohmann, C.",2
"Weaver, J. E.; Himmel, W. J.",2
"Suzuki, S.",2
"Flora, S. D.",2
"Redington, G.",2
"Ashbel, D.",2
"Kaigorodoff, A.",2
"Rabinowitch, E. I.",2
"Brunt, D.",2
"Ramdas, L. A.; Dravid, R. K.",2
"Champion, D. L.",2
"Bates, C. G.; Roeser, J.",2
"Wegeleben, R.",2
"Thompson, H. C.",2
"Penta, F.",2
"Aikman, J. M.",2
"McKinney, H. H.; Sando, W. J.",2
"Bilham, E. G.",2
"English, L. L.",2
"Imms, A. D.",2
"Rave, L.",2
"Suneson, C. A.; Peltier, G. L.",2
"Crépin, C.",2
"Moore, B.",2
"Dunlap, A. A.",2
"Salisbury, E. J.",2
"Gösele, L.",2
"Knoche, W.",2
"Lee, J.",2
"Lebedintseva, E. V.",2
"Fischer, E.",2
"Monchot, E.",2
"Agee, H. P.",2
"Borthwick, H. A.; Parker, M. W.; Heinze, P. H.",2
"Hart, H.; Zaleski, K.",2
"Sheard, C.; Higgins, G. M.; Foster, W. I.",2
"Haber, E. S.",2
"Mochkov, B. S.",2
"Carne, W. M.",2
"Kalitin, N. N.",2
"Biolley, H.",2
"Formica, F.",2
"Miller, J. C.",2
"de Montessus de Ballore, R.",2
"Hall, A. D.",2
"Suzuki, H.",2
"Lysenko, T. D.",2
"Sakharov, M. I.",2
"Bane, W. A.",2
"Simanjuk, A.",2
"Crescini, F.",2
Berkner,2
"Struckmeyer, B. E.",2
"Buxton, P. A.",2
"Ramdas, L. A.; Mallik, A. K.",2
"McKenzie-Taylor, E.; Burns, A. C.",2
"Ziegler, O.",2
"Willcox, O. W.",2
"Li, T. T.",2
"Bonacina, L. C. W.",2
"Ramdas, L. A.; Kalamkar, R. J.; Gadre, K. M.",2
"Artschwager, E.; Starrett, R. C.",2
"Zon, R.",2
"Marvin, C. F.",2
"Beall, H. W.",2
"Sokolovskaja, A. P.",2
"Schanderl, H.",2
"Crowther, E. M.",2
"Kinzel, W.",2
"Godard, M.",2
"Groissmayr, F. B.",2
"Kandasamy, A. P.",2
"Sofoterov, N. K.",2
"Panfilov, J.",2
"Fedorov, A. V.",2
"Jones, L. A.; Condit, H. R.",2
"Hamner, C. L.",2
"Reed, C. D.",2
"Barnes, W. C.",2
"Mascart, J.",2
"Lochow, F. von",2
"Gericke, W. F.",2
"Tamm, E.",2
"Gregory, F. G.",2
"Gallay, R.",2
"Brown, E. M.",2
"Jones, D. F.; Huntington, E.",2
"Raman, P. K.",2
"Cuberbiller, E. A.",2
"Knoch, K.",2
"Laurie, A.",2
"Cerighelli, R.",2
"Moshkov, B. S.",2
"Struckmeyer, B. E.; Roberts, R. H.",2
"Leich, E.; Propp, G.",2
"Burkholder, P. R.",2
"Khvostikov, I. A.",2
"Brooks, R. M.",2
"Shul'gin, A.",2
Clausen,2
"Huntington, E.",2
"Becker, F.",2
"Clark, J. E.; Margary, I. D.; Cave, C. J. P.",2
"Blackman, F. F.",2
"Obolensky, V. V.",2
"Sayre, J. D.",2
"Famin, A.",2
"Pfeiffer, M.",2
"Kramer, Paul J.",2
"Scully, N. J.; Parker, M. W.; Borthwick, H. A.",2
"Kennedy, R. E.",2
"Newton, R.; Martin, W. M.",2
"Turrill, W. B.",2
"Fuller, H. J.",2
"Dieckmann, A.",2
"Hesselman, H.",2
"Keranen, J.",2
"Popov, V. P.",2
"Edwards, T. I.",2
"Kidson, E.",2
"Schindler, P.",2
"Berg, H.",2
"Ramdas, L. A.; Sreenivasiah, B. N.; Raman, P. K.",2
"Daingerfield, L. H.",2
"McClelland, T. B.",2
"Work, R. A.",2
"Allard, H. A.; Garner, W. W.",2
"Harrington, J. B.",2
"Prescott, J. A.",2
"De Soroa y Piñeda, J. M.",2
"Ray, G.",2
"Savickaja, A. I.",2
"Janisch, E.",2
"Timofeeva, M. T.",2
"Kersten, M. S.",2
"Fomin, A. E.",2
"Musso, J. O.",2
"Hanna, W. F.",2
"Gourley, J. H.",2
"Steyaert, R. L.",2
"McNair, J. B.",2
"Mitscherlich, E. A.",2
"Klapp, E.",2
"Hustich, I.",2
"Jacobs, W. C.",2
"Zattler, F.",2
"Pollak, L. W.",2
"Wegener, K.",2
"Münter, F.",2
"Stevens, W. R.",2
"Seeley, D. A.",2
"Gilbert, Basil E.",2
"Bertoni, M. S.",2
"Börnstein, R.",2
"Bua, G",2
"Hanson, H. C.",2
"Loree, R. E.",2
U.S. Department of Agriculture,2
"Bain, F. M.",2
"Brazier, C. E.",2
"Borthwick, H. A.",2
"Enquist, F.",2
"Smith, W. O.",2
"Ramaley, F.",2
"Russell, E. J.",2
"Yakuwa, R.",2
"Sarle, C. F.",2
"Singh, B. N.; Kumar, K.",2
"Sauberer, F.",2
"Servy, J.",2
"Ivanov, S. M.",2
"Sprague, V. G.",2
"Schwarz, R.",2
"Kiriakov, K.",2
"Ramdas, L. A.; Atmanathan, S.",2
"Brackett, F. S.",2
"Skrjabin, M. I.; Semjenov, A. E.",2
"Magness, J. R.",2
"Robbins, W. W.",2
"Krasovskii, V. I.",2
"Nossatovsky, A.; Vertela, M.",2
"Shatzky, A. L.",2
"McKenzie-Taylor, E.",2
"Novák, V.",2
"Jacob, S. M.",2
"Kulvanovsky, S. B.",2
"Paolini, B. M.",2
"Schmauß, A.",2
"Emerson, R.",2
"Huber, B.",2
"Bienert, W.",2
"Robertson, C. L.",1
"Mitscherlich, A.",1
"Misener, A. D.",1
"Withrow, R. B.; Biebel, J. P.",1
"Houseman, E. E.",1
"Lavrijcuk, V. S.; Popov, V. P.",1
"Aronovic, N.",1
"McCorkle, W. H.",1
"DeBusk, E. F.",1
"Chipp, T. F.",1
"Jungo, J.",1
"Cochran, W. G.",1
"Roussopoulos, N.; Meimaris",1
"Finch, A. H.; van Horn, C. W.",1
"Williams, C. B.",1
"Kincaid, R. R.; Gratz, L. O.",1
"Muenscher, W. C.",1
"Shaw, E. B.",1
"Lundegårdh, H.",1
"Anters, E.",1
"Brune, F.",1
"Ruth, W. A.; Baker, C. E.",1
"Fabri, A.",1
"Rosen, W. R.",1
"De Sora, J. M.",1
"Austin, J. P.",1
"Emmett, A. M.",1
"Friedl, A.",1
"Milthorpe, F. L.; Horowitz, B.",1
"Roochi, M.",1
"Moskov, B. S.",1
"Holmgren, O.",1
"Andrews, F. M.",1
"Lease, E. J.; Tottingham, W. E.",1
"Darby, H. H.",1
"Morton, W. C., III.",1
"Pearl, R.; Edwards, T. I.; Miner, J. R.",1
"Kelly, V. W.",1
"Lubimenko, V. J.; Sceglova, O. A.",1
"Fron, G.",1
"Alekseev, S. M.",1
"Malmström, C.; Malmgård, M.",1
"Tulaikov, N. M.",1
"Ligon, W. S.",1
"Brauner, L.",1
"Skeib, G.",1
"Thienemann, A.",1
"Smith, O.",1
"Klein, P.; Sanson, J.",1
"Rippel, K.",1
"Faull, J. H.",1
"Pigulevskii, G. V.",1
"Gardner, V. R.",1
"Bouygues, H.",1
"Algren, A. B.",1
"Mortenson, A. E.; Duley, F. L.",1
"Nisikavo, Y.; Matsumoto, H.; Yamauti, K.",1
"Jones, R. L.",1
"Van Dillewijn, C.",1
"Rav, G. G.; Dhar, N. R.",1
"Whitehouse, W. E.",1
"Costello, D. P.",1
Lavauden,1
"Whitson, A. R.",1
"Vollono, A.",1
"Larmour, R. K.; Clayton, J. S.; Wrenshall, C. L.",1
"Mckinney, H. H.; Sando, W. J.",1
"Whitcomb, W D.",1
"McCalla, A. G.; Weir, J. R.; Neatby, K. W.",1
"Langham, D. G.",1
"Henry, Y. M.; de Visme, M.",1
"Purvis, O. N.; Gregory, F. G.",1
"Lavrijcuk, V. S.; Popof, V. P.",1
"Curtis, R. H.",1
"Combe, S.",1
"Humphries, W. R.; Hurst, W. M.",1
"Smith, F. G.; Walker, J. C.",1
"Voigts, H.",1
Bormans; Wiorogorski,1
"Cascón Martínez, J.",1
"Ramabhadran, V. K.",1
"McClatchie, A. J.; Coit, E. J.; et al.",1
"Smith, J. H.",1
"Simanjuk, A. P.",1
"Ramdas, L. A.; Kalamkar, R. J.",1
"Mason, S. C.",1
"Wood, A. R.; Leathwood, M. N.",1
"Obukhov, V. M.",1
"Ahlmann, H. W.",1
"Fisher, R. A.; Mackenzie, W. A.",1
"Vernet, A.",1
"Hendrickson, G. O.",1
"Gassner, G.",1
"Tabor, P.",1
"Sigolev, A.; Procerov, A.",1
"Schmidt, W.; Schwabl, W.",1
"Parker, M. W.; Stuart, N. W.; Borthwick, H. A.",1
"Bever, W. M.",1
"Blake, M. A.; Nightingale, G. T.",1
"Stefanoff, B.; Stoičkoff, J.",1
"Less, E.",1
"Spillman, W. J.",1
"Schoenwiese, F.",1
"Memoria, J. M. P.",1
"Capus, J.; Bourdel, M.",1
"MacMillan, H. G.",1
"Harvey, R. B.; True, R. H.",1
"Savinov, S. I.",1
"Beck, F.",1
"Esper, H. C.",1
"Drude, O.",1
"Lebedincev, E.; Borodin, I.; Brovcin, V.",1
"Weinberger, J. H.",1
"Boerman, W. E.",1
"Brandt, F. O.",1
"Kemp, W. B.; Metzger, J. E.",1
"Eguchi, T.",1
"Leather, J. W.",1
"Hagan, H. R.",1
"Gunn, D. L.",1
Depardon; Buron,1
"Barbey, A.",1
"Rawlins, E. L.; Johnson, T. W.",1
"Magistad, O. C.; Farden, C. A.; Baldwin, W. A.",1
"Zinkiewicz, W.",1
"Jacobi, H.",1
"Scott, H. I.; Hart, E. B.; Halpin, J. G.",1
"Fox, R. T.",1
"Kosmodemjansky, V. N.",1
Ruby,1
"Kuleshov, N. N.",1
"Hedrick, U. P.",1
"Reed, C. A.",1
"Kincaid, R. R.",1
"Alexander, W. H.",1
"Heuser, W.",1
"Galston, A. W.; Baker, R. S.",1
"Smith, R. C.",1
"Mellish, H.",1
"Quayle, H. J.; Rohrbaugh, P. W.",1
"Johnson, J.; Ogden, W. B.",1
"Smith, L. W.; Hussain, M.",1
"Villeneuve, G. O.",1
"Adams, J. F.",1
"Engberg, R. C.",1
"Eble, L.",1
"Adam, G.",1
"Cugunin, J. V.",1
"Foster, W. D.",1
"Nedelkortch, M.",1
"Kurmangalin, N. A.",1
"Silvester, N. L.",1
"Davydov, G. K.",1
"Rhind, D.",1
"Booth, E. G.",1
"Martin, E. V.; Clements, F. E.",1
"Taraskevic, A. I.",1
"Detwiler, S. B.",1
"Bogateev, S. J.",1
"Kikkawa, S.",1
"Rigotard, L.",1
"Berg, L. S.",1
"Kirkwood, J. E.",1
"Musgrave, G. W.",1
"Hallstead, A. L.; Coles, E. H.",1
"Hannay, A. M.",1
"Pfeffer, W.",1
"Diehl, H. C.; Wright, R. C.",1
"Khrgian, A. K.",1
"Smith, J. S.",1
"Furr, J. S.; Degman, E. S.",1
"Deen, J. L.; Bruner, M. H.",1
"Edwards, T. I.; Peace, R.; Gould, S. A.",1
"Meynier, A.",1
"Pulman, J.",1
"Bowen, I. S.",1
"Vita, N.; Sandrinelli, R.",1
"International Meteorological Organization, Kommission für Landwirtschaft",1
"Reithmann, O.",1
"Johnston, W. A.",1
"Tennent, R. B.",1
"Capus, J.",1
"Venckevig, G. Z.",1
"Lauscher, F.",1
"Socevanov, V. E.",1
"Steche, H.",1
"Semmens, E. S.",1
"Weinberger, J. H.; Callinan, F. P.",1
"Barat, G.",1
"Sheldon, H. H.",1
Venckevic,1
"Snyder, W. E.",1
"Holtermann, C.",1
"Greene, E. W.",1
"MacVicar, R.; Struckmeyer, B. E.",1
"Heinze, P. H.; Parker, M. W.; Borthwick, H. A.",1
"Lunt, H. A.",1
"Simpson, G. C.",1
"Bastamov, S.",1
"Lommel, W. E.; Greene, L.",1
"Kaigorodov, A. I.",1
"Goineria, J.",1
"Montlaur, L.",1
"Budyko, M. I.; Iudin, M. I.",1
"Thompson, H. C.; Knott, J. E.",1
"Hey, G. L.; Carter, J. E.",1
"Onodera, J.",1
"Mathesius, W.",1
"Shostakovich, V. B.",1
"Deffontaines, P.",1
"Borchert, J. R.",1
"Baumann, E.",1
"Blaser, R. E.; Killinger, G. W.",1
"Popp, H. W.; McIlvaine, H. R. C.",1
"Fletcher, E. H.",1
"Fleischmann, R.",1
"Withbrow, R. B.",1
"Parija, P.; Saran, A. B.",1
"Edwards, T. I.; Pearl, R.; Gould, S. A.",1
"Ballantyne, A. B.",1
"Chudnovskii, A. F.",1
"Krasnosel'skaia-Maksimova, T. A.; Kondo, I. N.",1
"Tomkins, R. G.",1
"Bret, Jean",1
"Ingersoll, L. R.; Koepp, O. A.",1
"Elagin, I. N.; Zvorykina, K. V.",1
"Meiter, H.",1
"Black, L. A.",1
A. S.,1
"Oehler, T.",1
"Magruder, P.; Hawker, L. R.",1
"Koeslag, J. D.",1
"Kendricks, W. A.; Lee, A. R.; Godfrey, A. B.",1
"Collison, R. C.; Harlam, J. D.",1
"Aamodt, O. S.",1
"Dolgosov, V.; Syimanjuk, L.",1
"Perunova, M. S.",1
"Bourne, B. A.",1
"Píery, M.; Dufay, J.; Enselme, J.; Favrot, C.; Flajolet, P.",1
"Bucholtz, A. F.",1
"Broounoff, P.",1
"Dawson, R. B.",1
"Kirkpatrick, T. W.",1
"Geddes, A. E. M.",1
"Schneider, C. L.",1
"Kamenev, S. N.",1
"Newlin, J. J.",1
"Gorczyński, W.",1
Pieper,1
"De Bush, E. F.",1
"Mildbraed, J.",1
"Robinson, W. B.",1
"Flyorov, K. V.",1
"De Beseiro, D. C.; Durand, M.",1
"Craig, J.",1
"Robbins, W. J.; Petsch, K. F.",1
"Hodgson, R. W.",1
"Pettinger, N. A.",1
"Abbe, C.",1
"Simon, J.",1
"Ramsey, G. R.",1
"Naryskina, E.",1
"Gard, M.",1
"Tokashi, K.; Uchimura, K.",1
"Henry, A. W.",1
"Flory, E. L.",1
"Kudrin, S. A.; Nemolovskaja, O. V.",1
"Whitmore, R. A.",1
"Martin, J. P.; Craggs, B. A.",1
"Le Clerc, J. A.; Yoder, P. A.",1
"Hubbard, W. A.",1
"Emerson, R.; Lewis, C. M.",1
"Kincer, J. B.; Mattice, W. A.",1
"Krassitchkov, A.",1
"Smith, M. C.; Briggs, I. A.",1
"Keener, A. E.",1
"Gonzalez, S. S.",1
"Peirce, G. J.",1
"Federov, E. E.",1
"Stampa, G.",1
"Henecker, L.",1
"Ranjan, S.",1
"Greeves, T. N.; Muskett, A. E.",1
"Bodman, G. B.",1
"Barbé, G.",1
"Hamner, K. C.; Naylor, A. W.",1
"Kaskarov, D.",1
"Chasovnikov, G. N.",1
"Trägårdh, I.; Butovitsch, V.",1
"Risso Patron, R.",1
"Gradmann, I. H.",1
Tugarinov,1
"Tompkins, C. M.; Pack, D. A.",1
"Castle, E. S.; Honeyman, A. J. M.",1
"Sreenivasan, P. S.",1
"Kulvanovsky, K.",1
"Heuser, O. E.",1
"Szynal, T.",1
"Alexander, G. W.",1
"Hawker, L. E.",1
"Lebedintsev, E. L.",1
"Kisseljov, N.",1
"Smith, D. C.; Bressman, E. N.",1
"Ridgley, D. C.; Koeppe, C. E.",1
"Kommerell, E.",1
Staffe,1
"Aoki, S.; Tazika, Y.",1
"Ceremissin, T. S.",1
"Camp, A. F.; Walker, M. N.",1
"Fenton, F. A.; Hixson, E.",1
"Cook, S. F.",1
"Stickel, P. W. S.",1
"Koehler, B.; Jones, F. R.",1
"Prescott, E. E.; Brown, D. D.",1
"Ezekiel, W. N.; Taubenhaus, J. J.",1
"Borodin, I.",1
"Yakovlev, V. I.",1
"Nagel, J. L.",1
"Eyer, J. R.",1
"Cannon, W. A.; Demaree, D.; Purer, E. A.",1
"Vasiliev, I. M.",1
"Lauscher, F.; Schwabl, W.",1
"Mack, W. B.",1
"Gardner, C. A.",1
"Joret, M.; Malterre",1
"Menor, P. C.",1
"White, W. N.",1
"Büttner, K.",1
"Dusseau, A.",1
"Borthwick, H. A.; Parker, M. W.; Scully, N. J.",1
"Penman, H. L.; Keen, B. A.",1
"Flint, L. H.; McCaluter, E. D.",1
"Wright, R. C.; Pentzer, W. T.; Whiteman, T. M.; Rose, D. H.",1
"Eaton, S. V.",1
"Hartsema, A. M.; Blaauw, A. H.",1
"Glock, W. S.",1
"Andrewartha, H. G.",1
"Clayton, H. H.",1
"Kvasnikov, V. V.",1
Ducomet,1
"Kovrovceva, S. A.",1
"Collins, J. L.",1
"Clements, H. F.; Shigeura, G.; Akamine, E.",1
"Leopold, A. C.",1
"Garland, J. H.",1
"Rudorf, G.; Job, M. M.",1
"Lubimenko, V. N.; Hubbenet, E. R.",1
"Antonov, L. I.; Kalcevsky, K. A.; Ruguzov, A. M.; Fakulin, N.; Katagan, T. A.",1
"Dix, W.",1
"Briggs, G. E.; Kidd, F.; West, C.",1
"Webster, R. L.",1
"Stuart, N. W.",1
"Bakke, A. L.; Radspinner, W. A.; Maney, T. J.",1
"Pfeiffer, N. E.",1
"Thut, H. F.; Loomis, W. E.",1
"Machali, M.",1
"La Notte, F. S.",1
"Kleshnin, A.",1
"Montes, J. G.",1
"Koshal, R. S.; Fisher, Ronald Aylmer",1
"Zahour, R. L.",1
"Jarvis, T. D.",1
"De Backer, S. M.",1
"Miyaké, K.",1
"Hara, S.",1
"Clark, V. A.",1
"Iwanoff, L. A.; Thielmann, M.",1
"Gloyne, R. W.",1
"Chen, C. S.",1
"Chamney, N. P.",1
"Celjadinova, A. J.",1
"Allard, H.",1
"Clark, J. A.; Martin, J. H.; Parker, J. H.",1
Nikitin,1
"Puckett, H. B.",1
"Maas, D.",1
"Breese, A.; Bradbury, N. E.",1
"Lundegardh, H.",1
"Dastur, R. H.; Mehta, R. J.",1
"Show, S. B.",1
"Enfer, Y.",1
"Weightman, R. H.",1
"Ogg, W. G.",1
"McKenzie, K. A.",1
"Kulvanovsky, S.",1
"Hayer, E.",1
"Emmert, E. M.",1
"Bouyoucos, G. J.; McCool, M. M.",1
"Jack, H. A.",1
"Parodi, H.",1
"Langbein, W. B.",1
"Aleksandrov, A.; Slobodnikov, D.",1
"Bullard, E. C.",1
"Paddock, W.; Charles, F. G.",1
"Lorenz, O. A.",1
"Haupt, W.",1
"Alba, Paul",1
"Black, W. R.",1
"Heinicke, A. J.; Hoffman, M. B.",1
"Baldwin, H. I.",1
"Crane, H. L.",1
"Koeppe, C. E.",1
"Brown, A. J.; Worley F. P.",1
"Mills, C. A.",1
"Eckerson, S.",1
"Kogure, M.",1
"Seelhorst, C.; Fresenius, J.",1
